1 19.9 13.5
2 21.4 15.4
3 20.5 14.9
4 19.2 11.7
5 21.3 14.6
6 18.9 11.3
7 19.3 11.8
8 21.9 15.3
9 20.0 14.2
10 21.9 15.4
11 19.6 13.6
12 20.0 14.1
13 23.1 17.9
14 19.7 12.6
15 18.9 11.3
16 19.9 13.9
17 19.8 13.7
18 19.5 13.4
19 19.0 12.0
20 19.6 12.6
21 20.4 14.4
22 19.9 13.9
23 18.9 11.3
24 19.0 11.5
25 20.0 13.3
26 19.3 11.5
27 19.5 13.4
28 22.5 17.2
29 19.9 13.5
30 18.4 10.7
31 19.2 12.2
32 20.4 14.4
33 19.9 13.6
34 20.0 14.2
35 19.2 12.2
36 19.3 12.9
37 20.0 13.7
38 20.0 13.1
39 19.8 13.8
40 21.9 15.3
41 19.7 13.7
42 20.5 14.2
43 19.6 13.5
44 20.5 14.2
45 19.3 12.2
46 19.7 13.7
47 19.9 13.7
48 18.3 11.3
49 20.4 14.4
50 19.9 13.7
51 16.3 6.9
52 19.2 14.3
53 20.5 14.2
54 20.0 14.1
55 20.0 13.2
56 19.9 13.4
57 18.5 11.4
58 21.9 15.5
59 19.9 13.5
60 20.5 13.6
61 19.9 13.2
62 19.3 11.8
63 19.4 13.4
64 22.4 16.6
65 19.9 13.9
66 19.3 11.7
67 19.4 13.4
68 20.0 14.2
69 21.9 15.4
70 19.6 13.1
71 19.3 12.2
72 21.9 15.5
73 19.9 13.0
74 19.1 12.1
75 19.5 13.3
76 19.9 13.9
77 18.9 11.3
78 19.5 12.9
79 21.8 16.4
80 19.9 13.6
81 19.2 11.6
82 19.8 13.8
83 20.0 13.6
84 18.5 10.8
85 19.6 13.6
86 20.0 13.3
87 20.0 13.6
88 19.9 13.2
89 19.9 13.2
90 22.0 16.1
91 22.4 16.6
92 19.0 11.8
93 20.5 13.6
94 20.5 14.2
95 19.9 13.9
96 19.2 11.6
97 21.9 15.3
98 19.1 14.2
99 19.9 13.5
100 20.0 14.2
101 19.3 11.8
102 18.9 12.7
103 19.0 11.5
104 19.9 13.6
105 21.3 14.6
106 19.8 13.3
107 20.2 13.5
108 19.9 13.6
109 19.7 13.5
110 19.6 14.3
111 21.1 15.1
112 20.0 12.6
113 19.3 11.8
114 19.9 13.5
115 19.6 12.5
116 19.7 13.5
117 20.4 14.4
118 19.9 13.5
119 22.2 16.2
120 19.1 14.2
121 21.9 15.4
122 19.9 13.9
123 19.9 13.6
124 19.3 11.6
125 19.9 13.9
126 19.1 14.2
127 21.9 15.3
128 20.1 13.6
129 19.9 13.1
130 19.9 13.9
131 21.9 15.5
132 18.9 11.3
133 20.4 14.2
134 19.7 12.6
135 20.0 13.3
136 19.3 11.8
137 20.2 14.0
138 19.0 12.1
139 18.3 11.2
140 19.7 13.5
141 21.6 16.5
142 19.1 13.1
143 21.9 16.4
144 19.6 12.6
145 22.3 16.2
146 19.9 13.5
147 19.2 11.5
148 18.8 12.2
149 19.9 13.5
150 20.1 13.6
151 19.9 13.9
152 22.1 15.9
153 19.5 13.5
154 21.9 16.4
155 20.0 13.3
156 19.3 11.8
157 19.3 11.8
158 19.7 13.5
159 21.9 15.5
160 19.6 13.1
161 19.2 11.9
162 19.0 12.9
163 19.4 13.4
164 18.9 11.3
165 19.8 13.7
166 20.0 13.3
167 22.4 16.4
168 19.1 14.2
169 21.9 15.5
170 19.9 13.5
171 22.0 16.1
172 18.5 10.9
173 17.4 10.7
174 19.9 13.6
175 21.2 14.2
176 20.4 14.4
177 19.5 13.3
178 19.5 13.4
179 21.3 14.2
180 20.0 14.2
181 19.7 13.7
182 19.9 13.6
183 19.9 13.6
184 19.9 13.9
185 19.6 14.3
186 19.3 11.8
187 18.5 11.4
188 20.0 13.6
189 23.3 16.9
190 18.8 12.2
191 21.1 15.1
192 19.6 14.3
193 20.6 14.3
194 19.7 13.5
195 20.5 13.6
196 19.9 13.5
197 21.8 16.4
198 19.9 13.5
199 19.9 13.9
200 19.2 11.5
