['Try', '1,', 'CPU', '1,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.2,', 'PATFOM', '52.79']
['Try', '2,', 'CPU', '3,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '3,', 'CPU', '16,', 'CC', 'All/Weak', '29.1', '/', '18.2,', 'CFOM', '47.3,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '4,', 'CPU', '13,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '5,', 'CPU', '7,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '6,', 'CPU', '8,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '7,', 'CPU', '4,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '8,', 'CPU', '15,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '9,', 'CPU', '6,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.3,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '10,', 'CPU', '5,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '11,', 'CPU', '11,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.3,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '12,', 'CPU', '2,', 'CC', 'All/Weak', '29.1', '/', '18.2,', 'CFOM', '47.3,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '13,', 'CPU', '12,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '14,', 'CPU', '14,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '15,', 'CPU', '9,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '16,', 'CPU', '1,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '17,', 'CPU', '10,', 'CC', 'All/Weak', '29.1', '/', '18.2,', 'CFOM', '47.3,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '18,', 'CPU', '7,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.3,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '19,', 'CPU', '13,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.3,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '20,', 'CPU', '16,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '21,', 'CPU', '3,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '22,', 'CPU', '8,', 'CC', 'All/Weak', '29.1', '/', '18.2,', 'CFOM', '47.3,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '23,', 'CPU', '4,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '24,', 'CPU', '15,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '25,', 'CPU', '6,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.3,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '26,', 'CPU', '2,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '27,', 'CPU', '11,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.3,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '28,', 'CPU', '9,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '29,', 'CPU', '5,', 'CC', 'All/Weak', '29.1', '/', '18.2,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '30,', 'CPU', '1,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '31,', 'CPU', '14,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '32,', 'CPU', '12,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '33,', 'CPU', '10,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.3,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '34,', 'CPU', '7,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '35,', 'CPU', '13,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '36,', 'CPU', '3,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '37,', 'CPU', '8,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '38,', 'CPU', '16,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '39,', 'CPU', '4,', 'CC', 'All/Weak', '29.1', '/', '18.2,', 'CFOM', '47.3,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '40,', 'CPU', '15,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.3,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '41,', 'CPU', '6,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '42,', 'CPU', '2,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.3,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '43,', 'CPU', '11,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '44,', 'CPU', '9,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '45,', 'CPU', '1,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '46,', 'CPU', '14,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.3,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '47,', 'CPU', '12,', 'CC', 'All/Weak', '29.1', '/', '18.1,', 'CFOM', '47.2,', 'best', '47.3,', 'PATFOM', '52.79']
['Try', '48,', 'CPU', '5,', 'CC', 'All/Weak', '29.1', '/', '18.2,', 'CFOM', '47.3,', 'best', '47.3,', 'PATFOM', '52.79']
