['Try', '40,', 'CPU', '10,', 'CC', 'All/Weak', '21.9', '/', '15.3,', 'CFOM', '37.2,', 'best', '41.0,', 'PATFOM', '26.24']
['Try', '41,', 'CPU', '11,', 'CC', 'All/Weak', '19.7', '/', '13.7,', 'CFOM', '33.4,', 'best', '41.0,', 'PATFOM', '29.75']
['Try', '42,', 'CPU', '15,', 'CC', 'All/Weak', '20.5', '/', '14.2,', 'CFOM', '34.7,', 'best', '41.0,', 'PATFOM', '28.88']
['Try', '43,', 'CPU', '12,', 'CC', 'All/Weak', '19.6', '/', '13.5,', 'CFOM', '33.1,', 'best', '41.0,', 'PATFOM', '30.21']
['Try', '44,', 'CPU', '2,', 'CC', 'All/Weak', '20.5', '/', '14.2,', 'CFOM', '34.8,', 'best', '41.0,', 'PATFOM', '28.88']
['Try', '45,', 'CPU', '3,', 'CC', 'All/Weak', '19.3', '/', '12.2,', 'CFOM', '31.6,', 'best', '41.0,', 'PATFOM', '31.96']
['Try', '46,', 'CPU', '13,', 'CC', 'All/Weak', '19.7', '/', '13.7,', 'CFOM', '33.4,', 'best', '41.0,', 'PATFOM', '29.75']
['Try', '47,', 'CPU', '4,', 'CC', 'All/Weak', '19.9', '/', '13.7,', 'CFOM', '33.6,', 'best', '41.0,', 'PATFOM', '22.82']
['Try', '48,', 'CPU', '9,', 'CC', 'All/Weak', '18.3', '/', '11.3,', 'CFOM', '29.6,', 'best', '41.0,', 'PATFOM', '25.12']
['Try', '49,', 'CPU', '16,', 'CC', 'All/Weak', '20.4', '/', '14.4,', 'CFOM', '34.8,', 'best', '41.0,', 'PATFOM', '26.64']
['Try', '50,', 'CPU', '1,', 'CC', 'All/Weak', '19.9', '/', '13.7,', 'CFOM', '33.6,', 'best', '41.0,', 'PATFOM', '22.82']
['Try', '51,', 'CPU', '7,', 'CC', 'All/Weak', '16.3', '/', '6.9,', 'CFOM', '23.3,', 'best', '41.0,', 'PATFOM', '25.74']
['Try', '52,', 'CPU', '14,', 'CC', 'All/Weak', '19.2', '/', '14.3,', 'CFOM', '33.5,', 'best', '41.0,', 'PATFOM', '23.84']
['Try', '53,', 'CPU', '5,', 'CC', 'All/Weak', '20.5', '/', '14.2,', 'CFOM', '34.7,', 'best', '41.0,', 'PATFOM', '28.88']
['Try', '54,', 'CPU', '8,', 'CC', 'All/Weak', '20.0', '/', '14.1,', 'CFOM', '34.1,', 'best', '41.0,', 'PATFOM', '27.74']
['Try', '55,', 'CPU', '10,', 'CC', 'All/Weak', '20.0', '/', '13.2,', 'CFOM', '33.3,', 'best', '41.0,', 'PATFOM', '25.98']
['Try', '56,', 'CPU', '6,', 'CC', 'All/Weak', '19.9', '/', '13.4,', 'CFOM', '33.4,', 'best', '41.0,', 'PATFOM', '25.46']
['Try', '57,', 'CPU', '11,', 'CC', 'All/Weak', '18.5', '/', '11.4,', 'CFOM', '29.9,', 'best', '41.0,', 'PATFOM', '27.80']
['Try', '58,', 'CPU', '15,', 'CC', 'All/Weak', '21.9', '/', '15.5,', 'CFOM', '37.3,', 'best', '41.0,', 'PATFOM', '25.78']
['Try', '59,', 'CPU', '12,', 'CC', 'All/Weak', '19.9', '/', '13.5,', 'CFOM', '33.4,', 'best', '41.0,', 'PATFOM', '29.67']
['Try', '60,', 'CPU', '3,', 'CC', 'All/Weak', '20.5', '/', '13.6,', 'CFOM', '34.1,', 'best', '41.0,', 'PATFOM', '22.71']
['Try', '61,', 'CPU', '4,', 'CC', 'All/Weak', '19.9', '/', '13.2,', 'CFOM', '33.1,', 'best', '41.0,', 'PATFOM', '25.98']
['Try', '62,', 'CPU', '2,', 'CC', 'All/Weak', '19.3', '/', '11.8,', 'CFOM', '31.1,', 'best', '41.0,', 'PATFOM', '27.74']
['Try', '63,', 'CPU', '13,', 'CC', 'All/Weak', '19.4', '/', '13.4,', 'CFOM', '32.9,', 'best', '41.0,', 'PATFOM', '30.21']
['Try', '64,', 'CPU', '9,', 'CC', 'All/Weak', '22.4', '/', '16.6,', 'CFOM', '39.0,', 'best', '41.0,', 'PATFOM', '26.75']
['Try', '65,', 'CPU', '16,', 'CC', 'All/Weak', '19.9', '/', '13.9,', 'CFOM', '33.7,', 'best', '41.0,', 'PATFOM', '25.96']
['Try', '66,', 'CPU', '1,', 'CC', 'All/Weak', '19.3', '/', '11.7,', 'CFOM', '31.0,', 'best', '41.0,', 'PATFOM', '27.89']
['Try', '67,', 'CPU', '7,', 'CC', 'All/Weak', '19.4', '/', '13.4,', 'CFOM', '32.9,', 'best', '41.0,', 'PATFOM', '30.21']
['Try', '68,', 'CPU', '14,', 'CC', 'All/Weak', '20.0', '/', '14.2,', 'CFOM', '34.1,', 'best', '41.0,', 'PATFOM', '27.11']
['Try', '69,', 'CPU', '5,', 'CC', 'All/Weak', '21.9', '/', '15.4,', 'CFOM', '37.2,', 'best', '41.0,', 'PATFOM', '25.60']
['Try', '70,', 'CPU', '8,', 'CC', 'All/Weak', '19.6', '/', '13.1,', 'CFOM', '32.7,', 'best', '41.0,', 'PATFOM', '29.07']
['Try', '71,', 'CPU', '10,', 'CC', 'All/Weak', '19.3', '/', '12.2,', 'CFOM', '31.6,', 'best', '41.0,', 'PATFOM', '31.96']
['Try', '72,', 'CPU', '11,', 'CC', 'All/Weak', '21.9', '/', '15.5,', 'CFOM', '37.3,', 'best', '41.0,', 'PATFOM', '25.78']
['Try', '73,', 'CPU', '6,', 'CC', 'All/Weak', '19.9', '/', '13.0,', 'CFOM', '32.9,', 'best', '41.0,', 'PATFOM', '29.38']
['Try', '74,', 'CPU', '12,', 'CC', 'All/Weak', '19.1', '/', '12.1,', 'CFOM', '31.3,', 'best', '41.0,', 'PATFOM', '26.98']
['Try', '75,', 'CPU', '15,', 'CC', 'All/Weak', '19.5', '/', '13.3,', 'CFOM', '32.7,', 'best', '41.0,', 'PATFOM', '28.47']
['Try', '76,', 'CPU', '3,', 'CC', 'All/Weak', '19.9', '/', '13.9,', 'CFOM', '33.7,', 'best', '41.0,', 'PATFOM', '25.96']
['Try', '77,', 'CPU', '4,', 'CC', 'All/Weak', '18.9', '/', '11.3,', 'CFOM', '30.2,', 'best', '41.0,', 'PATFOM', '27.74']
['Try', '78,', 'CPU', '2,', 'CC', 'All/Weak', '19.5', '/', '12.9,', 'CFOM', '32.4,', 'best', '41.0,', 'PATFOM', '25.79']
['Try', '79,', 'CPU', '13,', 'CC', 'All/Weak', '21.8', '/', '16.4,', 'CFOM', '38.2,', 'best', '41.0,', 'PATFOM', '26.43']
['Try', '80,', 'CPU', '9,', 'CC', 'All/Weak', '19.9', '/', '13.6,', 'CFOM', '33.5,', 'best', '41.0,', 'PATFOM', '28.09']
['Try', '81,', 'CPU', '16,', 'CC', 'All/Weak', '19.2', '/', '11.6,', 'CFOM', '30.9,', 'best', '41.0,', 'PATFOM', '27.17']
['Try', '82,', 'CPU', '1,', 'CC', 'All/Weak', '19.8', '/', '13.8,', 'CFOM', '33.7,', 'best', '41.0,', 'PATFOM', '25.96']
['Try', '83,', 'CPU', '7,', 'CC', 'All/Weak', '20.0', '/', '13.6,', 'CFOM', '33.6,', 'best', '41.0,', 'PATFOM', '27.99']
['Try', '84,', 'CPU', '14,', 'CC', 'All/Weak', '18.5', '/', '10.8,', 'CFOM', '29.3,', 'best', '41.0,', 'PATFOM', '26.35']
['Try', '85,', 'CPU', '5,', 'CC', 'All/Weak', '19.6', '/', '13.6,', 'CFOM', '33.2,', 'best', '41.0,', 'PATFOM', '30.21']
['Try', '86,', 'CPU', '8,', 'CC', 'All/Weak', '20.0', '/', '13.3,', 'CFOM', '33.3,', 'best', '41.0,', 'PATFOM', '25.44']
['Try', '87,', 'CPU', '10,', 'CC', 'All/Weak', '20.0', '/', '13.6,', 'CFOM', '33.6,', 'best', '41.0,', 'PATFOM', '28.09']
['Try', '88,', 'CPU', '11,', 'CC', 'All/Weak', '19.9', '/', '13.2,', 'CFOM', '33.1,', 'best', '41.0,', 'PATFOM', '25.98']
['Try', '89,', 'CPU', '6,', 'CC', 'All/Weak', '19.9', '/', '13.2,', 'CFOM', '33.1,', 'best', '41.0,', 'PATFOM', '25.98']
['Try', '90,', 'CPU', '12,', 'CC', 'All/Weak', '22.0', '/', '16.1,', 'CFOM', '38.1,', 'best', '41.0,', 'PATFOM', '25.65']
['Try', '91,', 'CPU', '3,', 'CC', 'All/Weak', '22.4', '/', '16.6,', 'CFOM', '39.0,', 'best', '41.0,', 'PATFOM', '26.75']
['Try', '92,', 'CPU', '15,', 'CC', 'All/Weak', '19.0', '/', '11.8,', 'CFOM', '30.8,', 'best', '41.0,', 'PATFOM', '24.08']
['Try', '93,', 'CPU', '4,', 'CC', 'All/Weak', '20.5', '/', '13.6,', 'CFOM', '34.1,', 'best', '41.0,', 'PATFOM', '22.71']
['Try', '94,', 'CPU', '2,', 'CC', 'All/Weak', '20.5', '/', '14.2,', 'CFOM', '34.7,', 'best', '41.0,', 'PATFOM', '28.88']
['Try', '95,', 'CPU', '13,', 'CC', 'All/Weak', '19.9', '/', '13.9,', 'CFOM', '33.7,', 'best', '41.0,', 'PATFOM', '25.96']
['Try', '96,', 'CPU', '9,', 'CC', 'All/Weak', '19.2', '/', '11.6,', 'CFOM', '30.8,', 'best', '41.0,', 'PATFOM', '27.17']
['Try', '97,', 'CPU', '16,', 'CC', 'All/Weak', '21.9', '/', '15.3,', 'CFOM', '37.2,', 'best', '41.0,', 'PATFOM', '26.24']
['Try', '98,', 'CPU', '1,', 'CC', 'All/Weak', '19.1', '/', '14.2,', 'CFOM', '33.3,', 'best', '41.0,', 'PATFOM', '23.84']
['Try', '99,', 'CPU', '7,', 'CC', 'All/Weak', '19.9', '/', '13.5,', 'CFOM', '33.4,', 'best', '41.0,', 'PATFOM', '29.67']
['Try', '100,', 'CPU', '14,', 'CC', 'All/Weak', '20.0', '/', '14.2,', 'CFOM', '34.2,', 'best', '41.0,', 'PATFOM', '27.11']
['Try', '101,', 'CPU', '5,', 'CC', 'All/Weak', '19.3', '/', '11.8,', 'CFOM', '31.1,', 'best', '41.0,', 'PATFOM', '27.74']
['Try', '102,', 'CPU', '8,', 'CC', 'All/Weak', '18.9', '/', '12.7,', 'CFOM', '31.6,', 'best', '41.0,', 'PATFOM', '25.73']
['Try', '103,', 'CPU', '10,', 'CC', 'All/Weak', '19.0', '/', '11.5,', 'CFOM', '30.5,', 'best', '41.0,', 'PATFOM', '27.74']
['Try', '104,', 'CPU', '11,', 'CC', 'All/Weak', '19.9', '/', '13.6,', 'CFOM', '33.5,', 'best', '41.0,', 'PATFOM', '28.09']
['Try', '105,', 'CPU', '12,', 'CC', 'All/Weak', '21.3', '/', '14.6,', 'CFOM', '35.8,', 'best', '41.0,', 'PATFOM', '26.45']
['Try', '106,', 'CPU', '6,', 'CC', 'All/Weak', '19.8', '/', '13.3,', 'CFOM', '33.1,', 'best', '41.0,', 'PATFOM', '29.29']
['Try', '107,', 'CPU', '3,', 'CC', 'All/Weak', '20.2', '/', '13.5,', 'CFOM', '33.8,', 'best', '41.0,', 'PATFOM', '26.08']
['Try', '108,', 'CPU', '15,', 'CC', 'All/Weak', '19.9', '/', '13.6,', 'CFOM', '33.5,', 'best', '41.0,', 'PATFOM', '28.09']
['Try', '109,', 'CPU', '4,', 'CC', 'All/Weak', '19.7', '/', '13.5,', 'CFOM', '33.2,', 'best', '41.0,', 'PATFOM', '29.50']
['Try', '110,', 'CPU', '2,', 'CC', 'All/Weak', '19.6', '/', '14.3,', 'CFOM', '33.9,', 'best', '41.0,', 'PATFOM', '25.12']
['Try', '111,', 'CPU', '13,', 'CC', 'All/Weak', '21.1', '/', '15.1,', 'CFOM', '36.2,', 'best', '41.0,', 'PATFOM', '22.21']
['Try', '112,', 'CPU', '9,', 'CC', 'All/Weak', '20.0', '/', '12.6,', 'CFOM', '32.7,', 'best', '41.0,', 'PATFOM', '29.06']
['Try', '113,', 'CPU', '16,', 'CC', 'All/Weak', '19.3', '/', '11.8,', 'CFOM', '31.1,', 'best', '41.0,', 'PATFOM', '27.74']
['Try', '114,', 'CPU', '1,', 'CC', 'All/Weak', '19.9', '/', '13.5,', 'CFOM', '33.4,', 'best', '41.0,', 'PATFOM', '29.67']
['Try', '115,', 'CPU', '7,', 'CC', 'All/Weak', '19.6', '/', '12.5,', 'CFOM', '32.1,', 'best', '41.0,', 'PATFOM', '31.17']
