['Try', '1,', 'CPU', '1,', 'CC', 'All/Weak', '34.7', '/', '20.9,', 'CFOM', '55.6,', 'best', '55.6,', 'PATFOM', '11.91']
['Try', '2,', 'CPU', '9,', 'CC', 'All/Weak', '32.0', '/', '16.8,', 'CFOM', '48.7,', 'best', '55.6,', 'PATFOM', '11.60']
['Try', '3,', 'CPU', '10,', 'CC', 'All/Weak', '33.9', '/', '18.8,', 'CFOM', '52.8,', 'best', '55.6,', 'PATFOM', '11.20']
['Try', '4,', 'CPU', '6,', 'CC', 'All/Weak', '33.6', '/', '17.7,', 'CFOM', '51.3,', 'best', '55.6,', 'PATFOM', '12.13']
['Try', '5,', 'CPU', '5,', 'CC', 'All/Weak', '34.3', '/', '19.7,', 'CFOM', '54.0,', 'best', '55.6,', 'PATFOM', '13.04']
['Try', '6,', 'CPU', '15,', 'CC', 'All/Weak', '34.1', '/', '19.6,', 'CFOM', '53.7,', 'best', '55.6,', 'PATFOM', '11.24']
['Try', '7,', 'CPU', '7,', 'CC', 'All/Weak', '31.7', '/', '15.7,', 'CFOM', '47.4,', 'best', '55.6,', 'PATFOM', '11.40']
['Try', '8,', 'CPU', '8,', 'CC', 'All/Weak', '34.3', '/', '19.7,', 'CFOM', '54.0,', 'best', '55.6,', 'PATFOM', '13.04']
['Try', '9,', 'CPU', '2,', 'CC', 'All/Weak', '32.7', '/', '17.8,', 'CFOM', '50.4,', 'best', '55.6,', 'PATFOM', '11.71']
['Try', '10,', 'CPU', '3,', 'CC', 'All/Weak', '34.1', '/', '19.6,', 'CFOM', '53.7,', 'best', '55.6,', 'PATFOM', '11.29']
['Try', '11,', 'CPU', '16,', 'CC', 'All/Weak', '32.1', '/', '16.9,', 'CFOM', '49.0,', 'best', '55.6,', 'PATFOM', '11.82']
['Try', '12,', 'CPU', '13,', 'CC', 'All/Weak', '33.8', '/', '17.7,', 'CFOM', '51.5,', 'best', '55.6,', 'PATFOM', '11.73']
['Try', '13,', 'CPU', '14,', 'CC', 'All/Weak', '33.1', '/', '16.4,', 'CFOM', '49.5,', 'best', '55.6,', 'PATFOM', '10.88']
['Try', '14,', 'CPU', '4,', 'CC', 'All/Weak', '33.2', '/', '18.4,', 'CFOM', '51.6,', 'best', '55.6,', 'PATFOM', '11.41']
['Try', '15,', 'CPU', '11,', 'CC', 'All/Weak', '34.1', '/', '19.8,', 'CFOM', '53.9,', 'best', '55.6,', 'PATFOM', '11.80']
['Try', '16,', 'CPU', '12,', 'CC', 'All/Weak', '33.9', '/', '19.0,', 'CFOM', '52.9,', 'best', '55.6,', 'PATFOM', '10.31']
['Try', '17,', 'CPU', '1,', 'CC', 'All/Weak', '34.0', '/', '18.8,', 'CFOM', '52.7,', 'best', '55.6,', 'PATFOM', '10.72']
['Try', '18,', 'CPU', '6,', 'CC', 'All/Weak', '33.9', '/', '18.3,', 'CFOM', '52.1,', 'best', '55.6,', 'PATFOM', '12.95']
['Try', '19,', 'CPU', '10,', 'CC', 'All/Weak', '34.1', '/', '19.3,', 'CFOM', '53.4,', 'best', '55.6,', 'PATFOM', '12.12']
['Try', '20,', 'CPU', '9,', 'CC', 'All/Weak', '32.7', '/', '17.1,', 'CFOM', '49.8,', 'best', '55.6,', 'PATFOM', '11.03']
['Try', '21,', 'CPU', '15,', 'CC', 'All/Weak', '33.2', '/', '18.4,', 'CFOM', '51.6,', 'best', '55.6,', 'PATFOM', '11.48']
['Try', '22,', 'CPU', '5,', 'CC', 'All/Weak', '32.6', '/', '16.3,', 'CFOM', '48.9,', 'best', '55.6,', 'PATFOM', '11.81']
['Try', '23,', 'CPU', '8,', 'CC', 'All/Weak', '33.6', '/', '19.1,', 'CFOM', '52.7,', 'best', '55.6,', 'PATFOM', '11.70']
['Try', '24,', 'CPU', '2,', 'CC', 'All/Weak', '34.3', '/', '19.7,', 'CFOM', '54.0,', 'best', '55.6,', 'PATFOM', '13.04']
['Try', '25,', 'CPU', '7,', 'CC', 'All/Weak', '34.1', '/', '19.7,', 'CFOM', '53.8,', 'best', '55.6,', 'PATFOM', '12.07']
['Try', '26,', 'CPU', '3,', 'CC', 'All/Weak', '33.6', '/', '18.9,', 'CFOM', '52.5,', 'best', '55.6,', 'PATFOM', '12.64']
['Try', '27,', 'CPU', '14,', 'CC', 'All/Weak', '33.9', '/', '18.6,', 'CFOM', '52.6,', 'best', '55.6,', 'PATFOM', '11.29']
['Try', '28,', 'CPU', '16,', 'CC', 'All/Weak', '34.7', '/', '20.9,', 'CFOM', '55.6,', 'best', '55.6,', 'PATFOM', '11.91']
['Try', '29,', 'CPU', '4,', 'CC', 'All/Weak', '33.2', '/', '18.4,', 'CFOM', '51.6,', 'best', '55.6,', 'PATFOM', '11.41']
['Try', '30,', 'CPU', '12,', 'CC', 'All/Weak', '34.7', '/', '20.9,', 'CFOM', '55.6,', 'best', '55.6,', 'PATFOM', '11.91']
['Try', '31,', 'CPU', '11,', 'CC', 'All/Weak', '34.1', '/', '19.7,', 'CFOM', '53.8,', 'best', '55.6,', 'PATFOM', '12.07']
['Try', '32,', 'CPU', '13,', 'CC', 'All/Weak', '33.9', '/', '18.2,', 'CFOM', '52.1,', 'best', '55.6,', 'PATFOM', '12.95']
['Try', '33,', 'CPU', '1,', 'CC', 'All/Weak', '33.9', '/', '18.6,', 'CFOM', '52.6,', 'best', '55.6,', 'PATFOM', '11.26']
['Try', '34,', 'CPU', '10,', 'CC', 'All/Weak', '34.1', '/', '19.7,', 'CFOM', '53.8,', 'best', '55.6,', 'PATFOM', '12.07']
['Try', '35,', 'CPU', '6,', 'CC', 'All/Weak', '34.4', '/', '19.1,', 'CFOM', '53.5,', 'best', '55.6,', 'PATFOM', '11.54']
['Try', '36,', 'CPU', '15,', 'CC', 'All/Weak', '33.3', '/', '17.4,', 'CFOM', '50.7,', 'best', '55.6,', 'PATFOM', '11.70']
['Try', '37,', 'CPU', '8,', 'CC', 'All/Weak', '33.2', '/', '18.4,', 'CFOM', '51.6,', 'best', '55.6,', 'PATFOM', '11.41']
['Try', '38,', 'CPU', '9,', 'CC', 'All/Weak', '34.3', '/', '19.7,', 'CFOM', '54.0,', 'best', '55.6,', 'PATFOM', '13.04']
['Try', '39,', 'CPU', '5,', 'CC', 'All/Weak', '33.9', '/', '18.8,', 'CFOM', '52.7,', 'best', '55.6,', 'PATFOM', '11.08']
['Try', '40,', 'CPU', '2,', 'CC', 'All/Weak', '34.4', '/', '19.1,', 'CFOM', '53.5,', 'best', '55.6,', 'PATFOM', '11.93']
['Try', '41,', 'CPU', '7,', 'CC', 'All/Weak', '33.2', '/', '18.4,', 'CFOM', '51.6,', 'best', '55.6,', 'PATFOM', '11.41']
['Try', '42,', 'CPU', '14,', 'CC', 'All/Weak', '33.3', '/', '17.4,', 'CFOM', '50.7,', 'best', '55.6,', 'PATFOM', '11.74']
['Try', '43,', 'CPU', '16,', 'CC', 'All/Weak', '34.7', '/', '20.9,', 'CFOM', '55.6,', 'best', '55.6,', 'PATFOM', '11.91']
['Try', '44,', 'CPU', '4,', 'CC', 'All/Weak', '33.5', '/', '19.2,', 'CFOM', '52.7,', 'best', '55.6,', 'PATFOM', '11.70']
['Try', '45,', 'CPU', '3,', 'CC', 'All/Weak', '34.0', '/', '18.0,', 'CFOM', '52.0,', 'best', '55.6,', 'PATFOM', '10.83']
['Try', '46,', 'CPU', '11,', 'CC', 'All/Weak', '34.4', '/', '18.7,', 'CFOM', '53.2,', 'best', '55.6,', 'PATFOM', '12.00']
['Try', '47,', 'CPU', '12,', 'CC', 'All/Weak', '34.3', '/', '19.7,', 'CFOM', '54.0,', 'best', '55.6,', 'PATFOM', '13.04']
['Try', '48,', 'CPU', '13,', 'CC', 'All/Weak', '33.3', '/', '18.0,', 'CFOM', '51.4,', 'best', '55.6,', 'PATFOM', '13.05']
['Try', '49,', 'CPU', '1,', 'CC', 'All/Weak', '34.7', '/', '20.9,', 'CFOM', '55.6,', 'best', '55.6,', 'PATFOM', '11.91']
['Try', '50,', 'CPU', '10,', 'CC', 'All/Weak', '33.4', '/', '18.0,', 'CFOM', '51.4,', 'best', '55.6,', 'PATFOM', '13.05']
['Try', '51,', 'CPU', '8,', 'CC', 'All/Weak', '32.8', '/', '17.7,', 'CFOM', '50.5,', 'best', '55.6,', 'PATFOM', '11.66']
['Try', '52,', 'CPU', '6,', 'CC', 'All/Weak', '33.3', '/', '17.9,', 'CFOM', '51.3,', 'best', '55.6,', 'PATFOM', '12.55']
['Try', '53,', 'CPU', '9,', 'CC', 'All/Weak', '31.9', '/', '16.4,', 'CFOM', '48.3,', 'best', '55.6,', 'PATFOM', '11.71']
['Try', '54,', 'CPU', '2,', 'CC', 'All/Weak', '32.7', '/', '17.2,', 'CFOM', '49.9,', 'best', '55.6,', 'PATFOM', '10.83']
['Try', '55,', 'CPU', '5,', 'CC', 'All/Weak', '34.1', '/', '19.7,', 'CFOM', '53.8,', 'best', '55.6,', 'PATFOM', '12.07']
['Try', '56,', 'CPU', '7,', 'CC', 'All/Weak', '34.0', '/', '19.4,', 'CFOM', '53.5,', 'best', '55.6,', 'PATFOM', '10.45']
['Try', '57,', 'CPU', '15,', 'CC', 'All/Weak', '33.1', '/', '18.5,', 'CFOM', '51.7,', 'best', '55.6,', 'PATFOM', '10.77']
['Try', '58,', 'CPU', '16,', 'CC', 'All/Weak', '34.7', '/', '20.9,', 'CFOM', '55.6,', 'best', '55.6,', 'PATFOM', '11.91']
['Try', '59,', 'CPU', '14,', 'CC', 'All/Weak', '30.2', '/', '14.5,', 'CFOM', '44.7,', 'best', '55.6,', 'PATFOM', '11.65']
['Try', '60,', 'CPU', '4,', 'CC', 'All/Weak', '32.1', '/', '16.7,', 'CFOM', '48.8,', 'best', '55.6,', 'PATFOM', '12.83']
['Try', '61,', 'CPU', '3,', 'CC', 'All/Weak', '33.3', '/', '18.0,', 'CFOM', '51.3,', 'best', '55.6,', 'PATFOM', '12.55']
['Try', '62,', 'CPU', '11,', 'CC', 'All/Weak', '33.6', '/', '18.1,', 'CFOM', '51.7,', 'best', '55.6,', 'PATFOM', '10.86']
['Try', '63,', 'CPU', '12,', 'CC', 'All/Weak', '33.9', '/', '19.1,', 'CFOM', '53.0,', 'best', '55.6,', 'PATFOM', '10.77']
['Try', '64,', 'CPU', '13,', 'CC', 'All/Weak', '34.3', '/', '19.7,', 'CFOM', '54.0,', 'best', '55.6,', 'PATFOM', '13.04']
['Try', '65,', 'CPU', '1,', 'CC', 'All/Weak', '34.7', '/', '20.9,', 'CFOM', '55.6,', 'best', '55.6,', 'PATFOM', '11.91']
['Try', '66,', 'CPU', '6,', 'CC', 'All/Weak', '33.5', '/', '18.0,', 'CFOM', '51.5,', 'best', '55.6,', 'PATFOM', '11.78']
['Try', '67,', 'CPU', '9,', 'CC', 'All/Weak', '33.9', '/', '18.6,', 'CFOM', '52.6,', 'best', '55.6,', 'PATFOM', '11.31']
['Try', '68,', 'CPU', '8,', 'CC', 'All/Weak', '34.6', '/', '19.8,', 'CFOM', '54.4,', 'best', '55.6,', 'PATFOM', '11.60']
['Try', '69,', 'CPU', '2,', 'CC', 'All/Weak', '33.6', '/', '19.1,', 'CFOM', '52.7,', 'best', '55.6,', 'PATFOM', '12.24']
['Try', '70,', 'CPU', '10,', 'CC', 'All/Weak', '33.2', '/', '18.4,', 'CFOM', '51.6,', 'best', '55.6,', 'PATFOM', '11.41']
['Try', '71,', 'CPU', '5,', 'CC', 'All/Weak', '33.9', '/', '18.3,', 'CFOM', '52.1,', 'best', '55.6,', 'PATFOM', '12.95']
['Try', '72,', 'CPU', '7,', 'CC', 'All/Weak', '34.7', '/', '20.9,', 'CFOM', '55.6,', 'best', '55.6,', 'PATFOM', '11.91']
['Try', '73,', 'CPU', '4,', 'CC', 'All/Weak', '34.4', '/', '19.0,', 'CFOM', '53.4,', 'best', '55.6,', 'PATFOM', '11.78']
['Try', '74,', 'CPU', '15,', 'CC', 'All/Weak', '33.1', '/', '16.4,', 'CFOM', '49.5,', 'best', '55.6,', 'PATFOM', '10.98']
