    72    72         242.0      20.4      20       0      55.2     4.38      0.116      21      0      0    0.000
    73    73         302.0      33.6      17       0      45.7     6.61      0.095      18      0      0    0.000
    74    74         283.5      30.4      23       0      39.5     7.18      0.075      23      0      0    0.000
    75    75         590.3      87.1      25       0      94.5     6.25      0.079      25      0      0    0.000
    76    76         275.9      50.2      22       0      52.1     5.30      0.105      22      0      0    0.000
    77    77         476.4      67.2      24       0      86.4     5.51      0.104      24      0      0    0.000
    78    78         383.4      37.4      24       0      57.3     6.70      0.102      24      0      0    0.000
    79    79         904.6     118.7      18       0     152.5     5.93      0.086      20      0      0    0.000
    80    80         494.6      88.2      23       0     154.5     3.20      0.126      24      0      0    0.000
    81    81         432.6      66.6      15       0     101.4     4.26      0.120      15      0      0    0.000
    82    82         268.1      41.1      18       0      46.5     5.76      0.097      19      0      0    0.000
    83    83         363.3      34.0      21       0      40.7     8.94      0.080      21      0      0    0.000
    84    84         246.3      58.0      18       0      24.2    10.18      0.065      20      0      0    0.000
    85    85         364.2      34.0      17       0      54.7     6.66      0.102      17      0      0    0.000
    86    86         402.4      60.1      22       0      74.1     5.43      0.116      22      0      0    0.000
    87    87         426.9      39.4      28       0      57.4     7.44      0.084      28      0      0    0.000
    88    88         573.3      45.5      18       0      85.3     6.72      0.093      18      0      0    0.000
    89    89         469.4      79.5      20       0      88.4     5.31      0.107      20      0      0    0.000
    90    90         235.6      50.4      24       0      54.2     4.35      0.119      24      0      0    0.000
    91    91         359.4      49.2      16       0      62.9     5.72      0.123      17      0      0    0.000
    92    92         341.7      33.6      24       0      42.7     8.00      0.084      25      0      0    0.000
    93    93         257.8      43.1      16       0      63.1     4.09      0.142      16      0      0    0.000
    94    94         492.3      63.5      18       0      72.3     6.81      0.068      18      0      0    0.000
    95    95         306.0      69.0      25       0      87.4     3.50      0.123      25      0      0    0.000
    96    96         643.3      43.2      15       0      37.3    17.26      0.039      16      0      0    0.000
    97    97         317.1      60.2      21       0      60.7     5.22      0.117      25      0      0    0.000
    98    98         261.6      55.7      18       0      58.5     4.47      0.109      19      0      0    0.000
    99    99         614.7      84.7      17       0     104.3     5.89      0.093      17      0      0    0.000
   100    100        378.1     102.7      22       0     110.6     3.42      0.140      22      0      0    0.000
   101    101        355.2      48.5      27       0      56.3     6.31      0.099      28      0      0    0.000
   102    102        424.2      45.4      20       0      53.9     7.87      0.084      21      0      0    0.000
   103    103        445.9      65.0      17       0      79.3     5.62      0.109      17      0      0    0.000
   104    104        275.3      33.9      27       0      32.9     8.38      0.067      27      0      0    0.000
   105    105        527.8      50.7      14       0      38.5    13.71      0.054      14      0      0    0.000
   106    106        278.1      38.1      19       0      36.5     7.62      0.101      19      0      0    0.000
   107    107        250.5      36.5      30       0      37.4     6.70      0.102      31      0      0    0.000
   108    108        423.2      39.5      18       0      47.3     8.95      0.073      18      0      0    0.000
   109    109        493.5      71.2      25       0      76.6     6.44      0.080      26      0      0    0.000
   110    110        511.5      44.9      14       0      48.3    10.58      0.064      17      0      0    0.000
   111    111        447.9      83.8      29       0      83.0     5.40      0.093      29      0      0    0.000
   112    112        294.5      41.5      18       0      41.9     7.03      0.092      18      0      0    0.000
   113    113        287.5      45.1      18       0      67.9     4.24      0.136      18      0      0    0.000
   114    114        478.2      69.0      25       0      60.1     7.96      0.080      25      0      0    0.000
   115    115        785.6     101.5      24       0      97.6     8.05      0.068      24      0      0    0.000
   116    116        456.5      53.6      24       0      59.1     7.73      0.075      24      0      0    0.000
   117    117        401.1      53.1      22       0      59.3     6.76      0.087      22      0      0    0.000
   118    118        264.3      28.4      21       0      45.4     5.83      0.089      21      0      0    0.000
   119    119        252.9      57.5      16       0      53.2     4.75      0.116      17      0      0    0.000
   120    120        276.6      42.7      17       0      42.7     6.48      0.101      17      0      0    0.000
   121    121        313.5      30.0      20       0      38.2     8.21      0.089      20      0      0    0.000
   122    122        278.5      28.9      26       0      26.6    10.48      0.058      27      0      0    0.000
   123    123        265.8      44.3      23       0      47.4     5.60      0.112      26      0      0    0.000
   124    124        271.4      18.6      17       0      39.6     6.86      0.079      18      0      0    0.000
   125    125        442.5      69.1      22       0      82.3     5.37      0.105      23      0      0    0.000
   126    126        369.0      38.2      28       0      44.8     8.25      0.070      28      0      0    0.000
   127    127        496.6      36.6      15       0      50.1     9.92      0.080      15      0      0    0.000
   128    128        387.5      66.0      26       0      43.0     9.00      0.078      26      0      0    0.000
   129    129        509.1      23.5      12       0      50.2    10.13      0.059      12      0      0    0.000
   130    130        358.3      54.3      18       0      58.2     6.16      0.091      18      0      0    0.000
   131    131        421.3      53.1      27       0      56.1     7.51      0.077      29      0      0    0.000
   132    132        328.6      71.4      20       0      62.1     5.29      0.117      21      0      0    0.000
   133    133        268.5      19.3      20       0      57.5     4.67      0.123      21      0      0    0.000
   134    134        406.6      88.8      24       0     102.1     3.98      0.099      25      0      0    0.000
   135    135        228.8      29.9      20       0      38.3     5.97      0.116      20      0      0    0.000
   136    136        191.6      22.5      21       0      27.2     7.04      0.098      23      0      0    0.000
   137    137        255.1      50.0      21       0      66.3     3.85      0.138      23      0      0    0.000
   138    138        351.9      53.2      26       0      58.7     5.99      0.095      26      0      0    0.000
   139    139        230.0      29.7      31       0      32.4     7.11      0.083      31      0      0    0.000
   140    140        275.2      37.0      18       0      48.8     5.64      0.112      19      0      0    0.000
   141    141        341.9      50.0      17       0      59.7     5.73      0.088      17      0      0    0.000
   142    142        553.2      56.1      21       0      59.3     9.33      0.069      21      0      0    0.000
   143    143        259.6      42.8      24       0      63.9     4.06      0.145      25      0      0    0.000
   144    144        337.6      47.6      17       0      54.8     6.16      0.094      19      0      0    0.000
   145    145        360.9      41.0      22       0      66.0     5.47      0.099      22      0      0    0.000
   146    146        570.4      91.1      18       0      92.5     6.17      0.086      18      0      0    0.000
   147    147        373.7      77.2      20       0      95.7     3.91      0.131      20      0      0    0.000
   148    148        285.5      34.4      30       0      47.4     6.03      0.094      30      0      0    0.000
   149    149        499.2      61.3      27       0      83.2     6.00      0.089      28      0      0    0.000
   150    150        318.5      40.1      26       0      45.0     7.08      0.087      27      0      0    0.000
   151    151        364.4      65.8      22       0      68.3     5.34      0.108      22      0      0    0.000
   152    152        339.9      43.4      25       0      48.8     6.96      0.089      25      0      0    0.000
   153    153        302.7      26.2      25       0      36.1     8.39      0.079      25      0      0    0.000
   154    154        550.2      63.6      17       0      93.0     5.91      0.094      18      0      0    0.000
   155    155        378.3      52.4      30       0      79.1     4.78      0.106      31      0      0    0.000
   156    156        355.9      33.3      23       0      69.8     5.10      0.100      23      0      0    0.000
   157    157        275.8      12.0      17       0      29.6     9.32      0.059      17      0      0    0.000
   158    158        308.5      55.5      21       0      67.8     4.55      0.112      22      0      0    0.000
   159    159        351.6      20.6      16       0      38.9     9.04      0.074      16      0      0    0.000
   160    160        248.6      18.4      21       0      24.2    10.26      0.063      21      0      0    0.000
   161    161        312.7      46.8      21       0      71.7     4.36      0.131      22      0      0    0.000
   162    162        412.6      36.6      19       0      43.0     9.61      0.069      19      0      0    0.000
   163    163        261.7      65.0      18       0      81.0     3.23      0.125      19      0      0    0.000
   164    164        456.8      63.1      25       0      70.7     6.46      0.071      25      0      0    0.000
   165    165        203.1      24.5      25       0      32.6     6.24      0.097      25      0      0    0.000
   166    166        348.8      21.6      25       0      43.4     8.04      0.073      26      0      0    0.000
   167    167        153.5      11.8      26       0      18.6     8.26      0.071      27      0      0    0.000
   168    168        588.6      46.0      18       0      65.0     9.06      0.076      18      0      0    0.000
   169    169        377.9      33.2      24       0      47.6     7.94      0.083      24      0      0    0.000
   170    170        373.1      41.0      23       0      47.3     7.88      0.078      24      0      0    0.000
   171    171        419.4      39.2      23       0      56.8     7.39      0.075      25      0      0    0.000
