     0.0 0.055
     1.0 0.064
     2.0 0.063
     3.0 0.063
     4.0 0.067
     5.0 0.065
     6.0 0.065
     7.0 0.066
     8.0 0.066
     9.0 0.064
    10.0 0.070
    11.0 0.071
    12.0 0.072
    13.0 0.075
    14.0 0.078
    15.0 0.081
    16.0 0.080
    17.0 0.084
    18.0 0.084
    19.0 0.093
    20.0 0.097
    21.0 0.099
    22.0 0.100
    23.0 0.097
    24.0 0.105
    25.0 0.108
    26.0 0.113
    27.0 0.111
    28.0 0.118
    29.0 0.112
    30.0 0.112
    31.0 0.121
    32.0 0.114
    33.0 0.114
    34.0 0.117
    35.0 0.116
    36.0 0.120
    37.0 0.111
    38.0 0.117
    39.0 0.122
    40.0 0.116
    41.0 0.124
    42.0 0.119
    43.0 0.118
    44.0 0.119
    45.0 0.128
    46.0 0.131
    47.0 0.121
    48.0 0.140
    49.0 0.131
    50.0 0.127
    51.0 0.144
    52.0 0.131
    53.0 0.144
    54.0 0.137
    55.0 0.142
    56.0 0.143
    57.0 0.135
    58.0 0.141
    59.0 0.151
    60.0 0.148
    61.0 0.155
    62.0 0.157
    63.0 0.157
    64.0 0.156
    65.0 0.154
    66.0 0.166
    67.0 0.156
    68.0 0.146
    69.0 0.150
    70.0 0.156
    71.0 0.150
    72.0 0.145
    73.0 0.146
    74.0 0.149
    75.0 0.152
    76.0 0.157
    77.0 0.151
    78.0 0.150
    79.0 0.145
    80.0 0.133
    81.0 0.151
    82.0 0.163
    83.0 0.159
    84.0 0.151
    85.0 0.160
    86.0 0.198
    87.0 0.167
    88.0 0.165
    89.0 0.191
    90.0 0.000

