     0.0 0.088
     1.0 0.099
     2.0 0.098
     3.0 0.096
     4.0 0.104
     5.0 0.091
     6.0 0.095
     7.0 0.101
     8.0 0.100
     9.0 0.100
    10.0 0.110
    11.0 0.105
    12.0 0.105
    13.0 0.116
    14.0 0.117
    15.0 0.122
    16.0 0.120
    17.0 0.127
    18.0 0.128
    19.0 0.140
    20.0 0.145
    21.0 0.157
    22.0 0.141
    23.0 0.141
    24.0 0.153
    25.0 0.159
    26.0 0.167
    27.0 0.153
    28.0 0.170
    29.0 0.162
    30.0 0.164
    31.0 0.158
    32.0 0.146
    33.0 0.162
    34.0 0.151
    35.0 0.165
    36.0 0.154
    37.0 0.145
    38.0 0.159
    39.0 0.165
    40.0 0.169
    41.0 0.157
    42.0 0.161
    43.0 0.151
    44.0 0.166
    45.0 0.165
    46.0 0.166
    47.0 0.162
    48.0 0.174
    49.0 0.172
    50.0 0.171
    51.0 0.181
    52.0 0.164
    53.0 0.179
    54.0 0.178
    55.0 0.187
    56.0 0.182
    57.0 0.170
    58.0 0.182
    59.0 0.185
    60.0 0.177
    61.0 0.204
    62.0 0.202
    63.0 0.192
    64.0 0.189
    65.0 0.220
    66.0 0.234
    67.0 0.211
    68.0 0.200
    69.0 0.210
    70.0 0.192
    71.0 0.179
    72.0 0.177
    73.0 0.176
    74.0 0.204
    75.0 0.195
    76.0 0.178
    77.0 0.185
    78.0 0.184
    79.0 0.174
    80.0 0.185
    81.0 0.164
    82.0 0.197
    83.0 0.193
    84.0 0.169
    85.0 0.222
    86.0 0.254
    87.0 0.211
    88.0 0.223
    89.0 0.287
    90.0 0.000

